cancer,method,n_synth,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,mmd,correlation_score,training_time_seconds,timestamp
prad,rf_none,0,42,0.88,0.6435276679841897,0.8619169960474309,0.9525075483091787,0.9545454545454546,0.0,0.8695652173913043,0.75,,,,1.1156587600708008,2026-05-06T21:20:51
prad,rf_none,0,43,0.88,0.6435276679841897,0.8619169960474309,0.9577994162640902,0.9545454545454546,0.0,0.8695652173913043,0.75,,,,0.8935964107513428,2026-05-06T21:20:53
prad,rf_none,0,44,0.9,0.6541666666666667,0.8803333333333333,0.9489278884863124,0.9777777777777777,0.0,0.8888888888888888,0.75,,,,0.9069807529449463,2026-05-06T21:20:55
prad,rf_none,0,45,0.88,0.6435276679841897,0.8619169960474309,0.9207822564412238,0.9545454545454546,0.0,0.8695652173913043,0.75,,,,0.8846790790557861,2026-05-06T21:20:57
prad,rf_none,0,46,0.88,0.6435276679841897,0.8619169960474309,0.9596017008856683,0.9545454545454546,0.0,0.8695652173913043,0.75,,,,0.9151630401611328,2026-05-06T21:20:58
prad,rf_smote,191,42,0.88,0.6545454545454545,0.8645454545454547,0.9519107286634461,0.9545454545454546,0.0,0.8636363636363636,0.8,,,,0.9662389755249023,2026-05-06T21:21:00
prad,rf_smote,191,43,0.9,0.6653746770025839,0.8832661498708009,0.9306682769726248,0.9777777777777777,0.0,0.8837209302325582,0.8,,,,0.9333844184875488,2026-05-06T21:21:02
prad,rf_smote,191,44,0.88,0.6545454545454545,0.8645454545454547,0.9374250201288244,0.9545454545454546,0.0,0.8636363636363636,0.8,,,,0.9066510200500488,2026-05-06T21:21:04
prad,rf_smote,191,45,0.9,0.6653746770025839,0.8832661498708009,0.9379317632850241,0.9777777777777777,0.0,0.8837209302325582,0.8,,,,0.9256126880645752,2026-05-06T21:21:06
prad,rf_smote,191,46,0.88,0.6435276679841897,0.8619169960474309,0.94735557568438,0.9545454545454546,0.0,0.8695652173913043,0.75,,,,0.9111299514770508,2026-05-06T21:21:08
prad,xgb_none,0,42,0.94,0.7272256728778468,0.920952380952381,0.9465036231884059,0.9565217391304348,0.0,0.9523809523809523,1.0,,,,1.8303852081298828,2026-05-06T21:21:10
prad,xgb_none,0,43,0.94,0.7272256728778468,0.920952380952381,0.9465036231884059,0.9565217391304348,0.0,0.9523809523809523,1.0,,,,1.7689247131347656,2026-05-06T21:21:13
prad,xgb_none,0,44,0.94,0.7272256728778468,0.920952380952381,0.9465036231884059,0.9565217391304348,0.0,0.9523809523809523,1.0,,,,1.8159968852996826,2026-05-06T21:21:15
prad,xgb_none,0,45,0.94,0.7272256728778468,0.920952380952381,0.9465036231884059,0.9565217391304348,0.0,0.9523809523809523,1.0,,,,1.8760948181152344,2026-05-06T21:21:18
prad,xgb_none,0,46,0.94,0.7272256728778468,0.920952380952381,0.9465036231884059,0.9565217391304348,0.0,0.9523809523809523,1.0,,,,1.7839279174804688,2026-05-06T21:21:20
prad,xgb_smote,191,42,0.88,0.6200828157349896,0.8780952380952382,0.9416631441223832,0.9565217391304348,0.0,0.9523809523809523,0.5714285714285714,,,,2.8065497875213623,2026-05-06T21:21:24
prad,xgb_smote,191,43,0.9,0.6584486166007906,0.8927272727272728,0.9472871376811594,0.9565217391304348,0.0,0.95,0.7272727272727273,,,,2.765303611755371,2026-05-06T21:21:27
prad,xgb_smote,191,44,0.94,0.8302550960292211,0.9391327913279133,0.973827999194847,0.9565217391304348,0.5,0.975609756097561,0.8888888888888888,,,,2.9585893154144287,2026-05-06T21:21:31
prad,xgb_smote,191,45,0.94,0.8302550960292211,0.9391327913279133,0.960745269726248,0.9565217391304348,0.5,0.975609756097561,0.8888888888888888,,,,2.862504005432129,2026-05-06T21:21:34
prad,xgb_smote,191,46,0.9,0.6766304347826086,0.9,0.9443714774557166,0.9565217391304348,0.0,0.95,0.8,,,,2.9187681674957275,2026-05-06T21:21:38
brca,random,1059,42,0.831081081081081,0.7548961502288215,0.8237961858865533,0.9240676358821848,0.9629629629629629,0.8571428571428571,0.868421052631579,0.6415094339622641,0.4444444444444444,,,2.308953285217285,2026-05-06T21:22:59
brca,random,1059,43,0.8378378378378378,0.7793962029256146,0.8294260647201823,0.9533946590176647,0.9629629629629629,0.8571428571428571,0.8758169934640523,0.6296296296296297,0.5714285714285714,,,1.9742534160614014,2026-05-06T21:23:02
brca,random,1059,44,0.8040540540540541,0.7397758660916555,0.7991726231413286,0.9487758723286259,0.9629629629629629,0.8571428571428571,0.8378378378378378,0.5964912280701754,0.4444444444444444,,,2.2399981021881104,2026-05-06T21:23:05
brca,random,1059,45,0.831081081081081,0.7970074402926788,0.8233522090347839,0.9476542447690026,0.9629629629629629,0.8888888888888888,0.8627450980392157,0.6037735849056604,0.6666666666666666,,,2.3589651584625244,2026-05-06T21:23:08
brca,random,1059,46,0.8175675675675675,0.8014771246496849,0.8125957049407629,0.9620110655340145,0.9811320754716981,0.8571428571428571,0.847682119205298,0.5714285714285714,0.75,,,1.7284314632415771,2026-05-06T21:23:10
brca,smote,1059,42,0.7702702702702703,0.7355337738891148,0.7727029323614713,0.942153878487902,0.9811320754716981,0.8888888888888888,0.7887323943661971,0.5573770491803278,0.46153846153846156,,,1.8488657474517822,2026-05-06T21:23:15
brca,smote,1059,43,0.8040540540540541,0.7993012601602858,0.8042801932697938,0.9370998742972073,0.9811320754716981,0.8571428571428571,0.8275862068965517,0.5806451612903226,0.75,,,1.8377957344055176,2026-05-06T21:23:18
brca,smote,1059,44,0.8040540540540541,0.7615553325565125,0.8043929114319927,0.9484248069297786,0.9811320754716981,0.8888888888888888,0.8275862068965517,0.6101694915254238,0.5,,,1.7322256565093994,2026-05-06T21:23:20
brca,smote,1059,45,0.8378378378378378,0.80786188470399,0.8319211279737596,0.9463123179597824,0.9629629629629629,0.9230769230769231,0.868421052631579,0.6181818181818182,0.6666666666666666,,,1.9495370388031006,2026-05-06T21:23:23
brca,smote,1059,46,0.8243243243243243,0.8007360177948414,0.8182521013403365,0.9598470023701836,0.9629629629629629,0.8461538461538461,0.8627450980392157,0.5818181818181818,0.75,,,1.802598476409912,2026-05-06T21:23:25
brca,adasyn,1070,42,0.831081081081081,0.7942920564452195,0.8239700775771807,0.9402445618312136,0.9811320754716981,0.8571428571428571,0.8627450980392157,0.6037735849056604,0.6666666666666666,,,1.79243803024292,2026-05-06T21:23:28
brca,adasyn,1070,43,0.8175675675675675,0.7799042530768134,0.8122081420532001,0.9453017155591196,0.9811320754716981,0.8888888888888888,0.847682119205298,0.5818181818181818,0.6,,,1.9349143505096436,2026-05-06T21:23:31
brca,adasyn,1070,44,0.8108108108108109,0.7527687470733827,0.8025620894826193,0.9357303784120481,0.9454545454545454,0.8888888888888888,0.847682119205298,0.5818181818181818,0.5,,,1.829810380935669,2026-05-06T21:23:34
brca,adasyn,1070,45,0.8378378378378378,0.8176909445330498,0.8319644405170722,0.9524258634596035,0.9629629629629629,0.8888888888888888,0.868421052631579,0.6181818181818182,0.75,,,1.7483198642730713,2026-05-06T21:23:36
brca,adasyn,1070,46,0.8513513513513513,0.816670859538784,0.8480367159612442,0.9632816264306132,0.9811320754716981,0.8888888888888888,0.88,0.6666666666666666,0.6666666666666666,,,1.9261751174926758,2026-05-06T21:23:39
brca,borderline,1059,42,0.7972972972972973,0.7672927854548823,0.7954535098488994,0.9508213210581336,0.9811320754716981,0.8571428571428571,0.821917808219178,0.576271186440678,0.6,,,1.7088427543640137,2026-05-06T21:23:42
brca,borderline,1059,43,0.831081081081081,0.8004916670837297,0.8287282828597076,0.9577558447592601,0.9811320754716981,0.8461538461538461,0.8533333333333334,0.6551724137931034,0.6666666666666666,,,1.8663458824157715,2026-05-06T21:23:45
brca,borderline,1059,44,0.8243243243243243,0.7930835579514824,0.819883562808091,0.9582121076583225,0.9811320754716981,0.8571428571428571,0.8533333333333334,0.6071428571428571,0.6666666666666666,,,1.7309703826904297,2026-05-06T21:23:47
brca,borderline,1059,45,0.8513513513513513,0.8300766824740187,0.8462752619939079,0.9566471678681973,0.9811320754716981,0.8888888888888888,0.8758169934640523,0.6545454545454545,0.75,,,1.8276917934417725,2026-05-06T21:23:50
brca,borderline,1059,46,0.8175675675675675,0.7834327643006889,0.8134485563730846,0.9553528505455541,0.9811320754716981,0.8888888888888888,0.84,0.6071428571428571,0.6,,,1.7042295932769775,2026-05-06T21:23:53
coad,random,62,42,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9845191040843215,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.4012148380279541,2026-05-06T21:23:54
coad,random,62,43,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9871122068835713,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.30983877182006836,2026-05-06T21:23:55
coad,random,62,44,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9864130434782608,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.3988974094390869,2026-05-06T21:23:56
coad,random,62,45,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9745133926543221,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.279315710067749,2026-05-06T21:23:57
coad,random,62,46,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.986612253937966,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.3363957405090332,2026-05-06T21:23:58
coad,smote,62,42,0.8529411764705882,0.866083916083916,0.8515837104072398,0.9761595257566023,0.9090909090909091,0.8461538461538461,0.9090909090909091,0.8,,,,0.2715463638305664,2026-05-06T21:23:59
coad,smote,62,43,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9854660737812913,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.2871429920196533,2026-05-06T21:24:00
coad,smote,62,44,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9825428194993413,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.3230161666870117,2026-05-06T21:24:01
coad,smote,62,45,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9753662535615308,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.28031301498413086,2026-05-06T21:24:02
coad,smote,62,46,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9818178167409802,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.3396272659301758,2026-05-06T21:24:03
coad,borderline,62,42,0.8823529411764706,0.8888311688311689,0.8820168067226892,0.9876121598291763,0.9090909090909091,0.88,0.9090909090909091,0.8571428571428571,,,,0.260784387588501,2026-05-06T21:24:04
coad,borderline,62,43,0.8823529411764706,0.8647727272727274,0.8813725490196079,0.9883893280632412,0.8,0.9166666666666666,0.8333333333333334,0.9090909090909091,,,,0.29001712799072266,2026-05-06T21:24:05
coad,borderline,62,44,0.8823529411764706,0.8888311688311689,0.8820168067226892,0.9837419358502566,0.9090909090909091,0.88,0.9090909090909091,0.8571428571428571,,,,0.2911694049835205,2026-05-06T21:24:06
coad,borderline,62,45,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9783836166332418,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.2716987133026123,2026-05-06T21:24:07
